iter	Passed	Remaining
441	1782	233
442	1787	229
443	1792	226
444	1797	222
445	1801	218
446	1806	214
447	1810	210
448	1814	206
449	1818	202
450	1823	198
451	1827	194
452	1831	190
453	1835	185
454	1840	182
455	1844	178
456	1849	173
457	1853	170
458	1859	166
459	1864	162
460	1869	158
461	1874	154
462	1880	150
463	1886	146
464	1890	142
465	1895	138
466	1900	134
467	1904	130
468	1909	126
469	1914	122
470	1919	118
471	1923	114
472	1926	109
473	1930	105
474	1934	101
475	1938	97
476	1942	93
477	1946	89
478	1950	85
479	1954	81
480	1957	77
481	1961	73
482	1965	69
483	1969	65
484	1973	61
485	1977	56
486	1981	52
487	1985	48
488	1988	44
489	1992	40
490	1996	36
491	2000	32
492	2003	28
493	2008	24
494	2012	20
495	2016	16
496	2020	12
497	2024	8
498	2027	4
499	2031	0
