model,acc,roc_auc,logloss,fit_s,best_params
CatBoost (tuned),0.7666666666666667,0.7407318823248027,0.4961233561081615,163.71168732643127,"{'bagging_temperature': 0.013264961159866528, 'depth': 3, 'iterations': 2463, 'l2_leaf_reg': 3.658374977026927, 'learning_rate': 0.0008454394570685, 'random_strength': 2}"
MLP (tuned),0.7533333333333333,0.7392968189428366,0.49718127154577324,25.149433612823486,"{'activation': 'relu', 'alpha': 0.0010304988607329605, 'early_stopping': True, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.011736598743765089, 'max_iter': 500}"
SVC (tuned),0.76,0.7067687156182731,0.5312517620205769,5.729350328445435,"{'C': 7.119418600172988, 'gamma': 'auto', 'kernel': 'poly', 'probability': True}"
RandomForest (tuned),0.7533333333333333,0.7034202343936857,0.5124085786136663,5.9780943393707275,"{'max_depth': 2, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 149}"
XGBoost (tuned),0.7533333333333333,0.7005501076297537,0.5172513937092026,14.69565725326538,"{'alpha': 7.19771368225557e-11, 'colsample_bylevel': 0.7971931240944194, 'colsample_bytree': 0.7197063192377717, 'gamma': 0.19320634683190369, 'lambda': 6.871191641067085e-05, 'learning_rate': 0.0009509555629805276, 'max_depth': 3, 'min_child_weight': 0.002306667421756294, 'n_estimators': 1145, 'subsample': 0.39519171470326686}"
LightGBM (tuned),0.7466666666666667,0.6933747907199235,0.5119357623409446,11.768913269042969,"{'colsample_bytree': 0.6994655844802531, 'learning_rate': 0.004335281794951566, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 302, 'num_leaves': 48, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.5148647961550334}"
