model,acc,roc_auc,logloss,fit_s,best_params
XGBoost (tuned),0.705,0.8238971030171895,0.5866411674715394,20.644837617874146,"{'colsample_bylevel': 0.2843954078642165, 'colsample_bytree': 0.5652276563863282, 'gamma': 1.528989039388734e-06, 'learning_rate': 8.233218383598746e-05, 'max_depth': 10, 'min_child_weight': 0.0054016660143723265, 'n_estimators': 1596, 'reg_alpha': 1.5136823596498643e-05, 'reg_lambda': 1.2604314912760477e-07, 'subsample': 0.3823481300335534}"
RandomForest (tuned),0.77,0.8219737949272748,0.4847836066071876,8.637959480285645,"{'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 158}"
CatBoost (tuned),0.785,0.8207717273710783,0.4655747486460885,721.1046328544617,"{'bagging_temperature': 0.7296061783380641, 'depth': 10, 'iterations': 2873, 'l2_leaf_reg': 7.712811947156349, 'learning_rate': 0.002296543234463434, 'random_strength': 5}"
LightGBM (tuned),0.775,0.8205313138598389,0.475319796142892,24.857852458953857,"{'colsample_bytree': 0.365599509213526, 'learning_rate': 0.007741417985242885, 'max_depth': 15, 'min_child_weight': 1e-05, 'n_estimators': 1930, 'num_leaves': 11, 'reg_alpha': 0, 'reg_lambda': 100, 'subsample': 0.4369289109053418}"
SVC (tuned),0.765,0.8051448491405218,0.4715513049385622,2.4469168186187744,"{'C': 0.32476735706274484, 'gamma': 'scale', 'kernel': 'poly', 'probability': True}"
MLP (tuned),0.755,0.757182353648275,0.520010353104332,32.13520646095276,"{'activation': 'tanh', 'alpha': 1.102548826429165e-07, 'early_stopping': True, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.006866118759430415, 'max_iter': 800}"
