model,acc,roc_auc,logloss,fit_s,best_params
XGBoost (tuned),0.8695652173913043,0.9260761775974758,0.37851027633961326,24.83036231994629,"{'alpha': 4.728556030954289e-10, 'colsample_bylevel': 0.7350730021308858, 'colsample_bytree': 0.7327378852939974, 'gamma': 4.399062970481791e-06, 'lambda': 8.81033199125661e-12, 'learning_rate': 0.000848601863122447, 'max_depth': 3, 'min_child_weight': 3.246976644103031e-14, 'n_estimators': 1585, 'subsample': 0.8791310594128672}"
SVC (tuned),0.8695652173913043,0.9233716475095785,0.31837546632897423,0.7804057598114014,"{'C': 0.3972110727381912, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}"
CatBoost (tuned),0.8623188405797102,0.9231462700022538,0.3451868173790671,512.5145673751831,"{'bagging_temperature': 0.013264961159866528, 'depth': 3, 'iterations': 2463, 'l2_leaf_reg': 3.658374977026927, 'learning_rate': 0.0008454394570685, 'random_strength': 2}"
RandomForest (tuned),0.8768115942028986,0.9231462700022537,0.3536145519842774,8.122830867767334,"{'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 158}"
MLP (tuned),0.8405797101449275,0.9109758846067162,0.3757310541480253,27.86203646659851,"{'activation': 'relu', 'alpha': 0.0010304988607329605, 'early_stopping': True, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.011736598743765089, 'max_iter': 500}"
LightGBM (tuned),0.8623188405797102,0.905341446923597,0.3931168742512721,19.579488515853882,"{'colsample_bytree': 0.6994655844802531, 'learning_rate': 0.004335281794951566, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 302, 'num_leaves': 48, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.5148647961550334}"
