model,acc,roc_auc,logloss,fit_s,best_params
RandomForest (tuned),0.9853658536585366,1.0,0.06644607887555201,7.63376784324646,"{'max_depth': 42, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 165}"
CatBoost (tuned),0.9853658536585366,1.0,0.02566396038369817,306.75904393196106,"{'bagging_temperature': 0.942853570557981, 'depth': 9, 'iterations': 1822, 'l2_leaf_reg': 4.952048996676322, 'learning_rate': 0.25254524452421095, 'random_strength': 10}"
XGBoost (tuned),0.5024390243902439,0.9997144488863507,0.6903096047221872,22.949130058288574,"{'alpha': 5.517243342009515e-10, 'colsample_bylevel': 0.960571445127933, 'colsample_bytree': 0.7855951534491241, 'gamma': 5.96832845359256e-06, 'lambda': 6.431844379323491e-14, 'learning_rate': 1.2358382772306915e-06, 'max_depth': 8, 'min_child_weight': 1.0183119350630601e-09, 'n_estimators': 3019, 'subsample': 0.7664580622368364}"
LightGBM (tuned),0.9853658536585366,0.9920045688178185,0.07303173218037146,14.007351398468018,"{'colsample_bytree': 0.7067203092068908, 'learning_rate': 0.17456626922659324, 'max_depth': 17, 'min_child_weight': 1, 'n_estimators': 841, 'num_leaves': 30, 'reg_alpha': 0, 'reg_lambda': 5, 'subsample': 0.5642205486120109}"
MLP (tuned),0.9853658536585366,0.991719017704169,0.07969110911309912,32.889596700668335,"{'activation': 'tanh', 'alpha': 2.053520370104994e-05, 'early_stopping': False, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0006428777419897121, 'max_iter': 800}"
SVC (tuned),0.975609756097561,0.9794403198172472,0.10853317061923047,1.444141149520874,"{'C': 11.214774784159458, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True}"
