model,acc,roc_auc,logloss,fit_s,best_params
RandomForest (tuned),0.959,0.921765723309854,0.1765783688926285,44.88315415382385,"{'max_depth': 39, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 126}"
LightGBM (tuned),0.963,0.9206209944936037,0.18081209293300105,50.96079683303833,"{'colsample_bytree': 0.7067203092068908, 'learning_rate': 0.17456626922659324, 'max_depth': 17, 'min_child_weight': 1, 'n_estimators': 841, 'num_leaves': 30, 'reg_alpha': 0, 'reg_lambda': 5, 'subsample': 0.5642205486120109}"
XGBoost (tuned),0.861,0.917454189958138,0.2515791391281325,88.6390609741211,"{'alpha': 1.8534955142121485e-06, 'colsample_bylevel': 0.6166674080206589, 'colsample_bytree': 0.9689376194794794, 'gamma': 0.1590776901197357, 'lambda': 0.0028298406606801236, 'learning_rate': 0.000599576947438695, 'max_depth': 8, 'min_child_weight': 3.1032721261344543e-09, 'n_estimators': 863, 'subsample': 0.6856273981493477}"
CatBoost (tuned),0.962,0.9135103067371886,0.15253833656232696,1352.9981579780579,"{'bagging_temperature': 0.2017192023353962, 'depth': 10, 'iterations': 2890, 'l2_leaf_reg': 2.9879286542298455, 'learning_rate': 0.006552059910868994, 'random_strength': 4}"
SVC (tuned),0.911,0.9112417383166637,0.20841073182386954,25.341028690338135,"{'C': 0.4335281794951565, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True}"
MLP (tuned),0.941,0.9061656598066495,0.18026375541901127,97.56061744689941,"{'activation': 'relu', 'alpha': 0.06569128640939181, 'early_stopping': False, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.19419868977616675, 'max_iter': 500}"
