model,MAE,RMSE,R2,fit_s,best_params
Ridge (tuned),979637.6729142603,1331140.8483172662,0.6494388500516048,0.18371343612670898,"{'model__alpha': 0.3197999889429477, 'model__fit_intercept': True}"
XGBoost (tuned),949106.6875,1331636.75,0.6491776704788208,24.26042604446411,"{'model__colsample_bylevel': 0.5709042966264806, 'model__colsample_bytree': 0.4221321684127197, 'model__gamma': 0.003062520509464317, 'model__learning_rate': 0.005595976937366778, 'model__max_depth': 7, 'model__min_child_weight': 0.013558227959926897, 'model__n_estimators': 1959, 'model__reg_alpha': 1.49414578394363, 'model__reg_lambda': 1.4323759352560882e-06, 'model__subsample': 0.48693692325473387}"
MLP (tuned),1009725.5875198694,1350086.161498534,0.6393891953954809,43.38011598587036,"{'model__activation': 'relu', 'model__alpha': 0.0021398194315034413, 'model__early_stopping': True, 'model__hidden_layer_sizes': (256, 128, 64), 'model__learning_rate_init': 0.005349147669573061, 'model__max_iter': 300}"
CatBoost (tuned),1024974.0422525199,1383281.4583038662,0.6214381243854832,163.59402322769165,"{'model__bagging_temperature': 0.013264961159866528, 'model__depth': 3, 'model__iterations': 2663, 'model__l2_leaf_reg': 3.658374977026927, 'model__learning_rate': 0.0026646739856563376, 'model__random_strength': 2}"
RandomForest (tuned),1027549.7738463896,1396825.347037608,0.613988735930237,37.61470675468445,"{'model__max_depth': 8, 'model__max_features': 'log2', 'model__min_samples_split': 5, 'model__n_estimators': 802}"
LightGBM (tuned),1031816.055610556,1407201.0551331898,0.6082328045605658,3.70723819732666,"{'model__colsample_bytree': 0.7799016533479063, 'model__learning_rate': 0.008114327755581423, 'model__max_depth': 6, 'model__min_child_samples': 18, 'model__min_child_weight': 0.4328724829857118, 'model__n_estimators': 420, 'model__num_leaves': 22, 'model__reg_alpha': 0.00036605959530379434, 'model__reg_lambda': 0.00014678243236193207, 'model__subsample': 0.9844688097397396}"
SVR (tuned),1404166.1739322639,1930925.7943758362,0.26235580046173546,0.389725923538208,"{'model__C': 859.8737339212263, 'model__epsilon': 0.2073644517790503, 'model__gamma': 'auto', 'model__kernel': 'linear'}"
